# Game: アークナイツ：エンドフィールド (Code: arkend)
category_name,reading,word,description
人名,あいびーえな,アイビーエナ,
人名,あけくり,アケクリ,
人名,あるでりあ,アルデリア,
人名,あれっしゅ,アレッシュ,
名詞,あんかー,アンカー,
名詞,あんげろす,アンゲロス,
人名,あんたる,アンタル,
名詞,あーくないつえんどふぃーるど,アークナイツ：エンドフィールド,
人名,あーくらいと,アークライト,
名詞,あーつ,アーツ,
人名,いゔぉんぬ,イヴォンヌ,
人名,うるふがーど,ウルフガード,
人名,えすてーら,エステーラ,
名詞,えんどふぃーるど,エンドフィールド,
名詞,えんどふぃーるどこうぎょう,エンドフィールド工業,
人名,えんばー,エンバー,
名詞,おぺれーたー,オペレーター,
人名,かんりにん,管理人,
名詞,かんれい,寒冷,
人名,きゃっちゃー,キャッチャー,
人名,ぎるべるた,ギルベルタ,
人名,ざいひ,ザイヒ,
名詞,しぜん,自然,
名詞,しっしょう,失衝,
名詞,しっしょうしすてむ,失衝システム,
名詞,しっしょうち,失衝値,
名詞,しゃくねつ,灼熱,
名詞,しゅうせいこうぎょうしすてむ,集成工業システム,
名詞,じゅうそう,重装,
名詞,じゅつし,術師,
人名,すのーしゃいん,スノーシャイン,
名詞,せんぽう,先鋒,
名詞,ぜんえい,前衛,
名詞,たろ２,タロII,
人名,だぱん,ダパン,
人名,ちぇんせんゆー,チェン・センユー,
名詞,てんしくい,天師杭,
名詞,でぃーじゃんごう,帝江号,
名詞,でんじ,電磁,
名詞,とつげき,突撃,
人名,ふぃえる,フィエル,
人名,ふろーらいと,フローライト,
名詞,ぶつり,物理,
人名,ぺりか,ペリカ,
名詞,ほじょ,補助,
人名,ぽぐらにちにく,ポグラニチニク,
人名,らすとらいと,ラストライト,
名詞,らんどぶれーかー,ランドブレーカー,
人名,りーふぉん,リーフォン,
人名,れーゔぁていん,レーヴァテイン,
