# Game: アークナイツ (Code: arknights)
category_name,reading,word,description
人名,あ,ア,
人名,あいりす,アイリス,
人名,あいりーに,アイリーニ,
人名,あうるす,アウルス,
名詞,あおくもゆるこころ,青く燃ゆる心,
人名,あおすた,アオスタ,
人名,あかふゆ,アカフユ,
名詞,あかふらのみつりん,アカフラの密林,
名詞,あくちょうかりゅう,悪兆渦流,
人名,あこると,アコルト,
人名,あしっどどろっぷ,アシッドドロップ,
人名,あすかろん,アスカロン,
人名,あすてしあ,アステシア,
人名,あすてじーに,アステジーニ,
人名,あすべすとす,アスベストス,
名詞,あすらん,アスラン,
人名,あずりうす,アズリウス,
人名,あっしゅ,Ash,
人名,あっしゅろっく,アッシュロック,
名詞,あてぬすふくしゅうき,アテヌス復讐記,
人名,あでる,アデル,
名詞,あと,墟,
人名,あどそ,アドソ,
人名,あどなきえる,アドナキエル,
人名,あぶさんと,アブサント,
名詞,あま１０,AMa-10,
人名,あらんな,アランナ,
名詞,ありしひのかぜをもとめて,在りし日の風を求めて,
人名,あるけっと,アルケット,
人名,あるとりあ,アルトリア,
人名,あれーん,アレーン,
人名,あろま,アロマ,
名詞,あんこくじだい,暗黒時代,
人名,あんじぇりーな,アンジェリーナ,
人名,あんせる,アンセル,
人名,あんだーふろー,アンダーフロー,
人名,あんどれあな,アンドレアナ,
人名,あんぶりえる,アンブリエル,
名詞,あんりゅううごめくすあな,暗流蠢く巣穴,
人名,あーくとす,アークトス,
名詞,あーくわん,アーク・ワン,
人名,あーすすぴりっと,アーススピリット,
名詞,あーつ,アーツ,
名詞,あーつゆにっと,アーツユニット,
名詞,あーつろっど,アーツロッド,
人名,あーみや,アーミヤ,
人名,あーもんど,アーモンド,
人名,いぇら,イェラ,
名詞,いぇらがんど,イェラガンド,
名詞,いぇらぐ,イェラグ,
人名,いかくあすてじーに,溯光アステジーニ,
人名,いかくいぐぜきゅたー,聖約イグゼキュター,
人名,いかくえいやふぃやとら,純燼エイヤフィヤトラ,
