# Game: 崩壊：スターレイル (Code: hsr)
category_name,reading,word,description
固有名詞,あいおーん,星神,この世界における神々
人名,あきゔぃり,アキヴィリ,
固有名詞,あきゔぃり,アキヴィリ,「開拓」の運命を司る星神
人名,あぐらいあ,アグライア,
人名,あすたー,アスター,
名詞,あずさか,集真赤,黄泉の必殺で使うやつ
固有名詞,あっは,アッハ,「愉悦」の運命を司る星神
名詞,あづさか,集真赤,黄泉の必殺で使うやつ
固有名詞,あないあれいとぎゃんぐ,アナイアレイトギャング,壊滅の運命
人名,あべんちゅりん,アベンチュリン,
人名,あるじぇんてぃ,アルジェンティ,
人名,あーらん,アーラン,
人名,いくす,Ⅸ,
固有名詞,いどりら,イドリラ,「純美」の運命を司る星神
固有名詞,いぶつ,遺物,サブ装備
人名,いんげつ,飲月,
固有名詞,うちゅうすてーしょんへるた,宇宙ステーション「ヘルタ」,ヘルタの作った倉庫
固有名詞,うちゅうのこうがい,宇宙の蝗害,模擬宇宙の第1回拡張。タイズルスと出会って虫退治するやつ
固有名詞,うろぼろす,ウロボロス,「貪欲」の運命を司る星神
固有名詞,うんきぐん,雲騎軍,仙舟の軍事組織
名詞,うんめいのあしあと,運命の足跡,
名詞,うんらく,殞落,死ぬこと。主に星神の死に対して用いる。
人名,うんり,雲璃,
名詞,うーうーぼ,ウーウーボ,
人名,えな,エナ,
人名,えりお,エリオ,
固有名詞,おうごんときかい,黄金と機械,模擬宇宙の第2回拡張。ヌースと出会って皇帝ルパートが何をしたのか探るやつ
固有名詞,おうじつのむか,往日の夢華,課金石
名詞,おくほう,憶泡,
固有名詞,おんぱろす,オンパロス,
名詞,かいいきあんかー,界域アンカー,
固有名詞,かいさうちゅう,階差宇宙,模擬宇宙の第3回拡張。博識学会と協力して「人間界」をシミュレートしている
名詞,かいたく,開拓,
固有名詞,かいたく,開拓,
名詞,かいたくき,開拓紀,
名詞,かいたくりょく,開拓力,
固有名詞,かいたくれき,開拓歴,1年を12の月に分けている。ペガーナのものを用いており、地球の太陽暦と同等。
名詞,かいたくれべる,開拓レベル,
固有名詞,かいめつ,壊滅,万能ジョブ
人名,かかりあ,カカリア,
人名,かかりあらんど,カカリア・ランド,
人名,かふか,カフカ,
名詞,かめんのぐしゃ,仮面の愚者,
固有名詞,かめんのぐしゃ,仮面の愚者,愉悦の運命
人名,かんあ,寒鴉,
名詞,がーでんおぶりこれくしょん,ガーデンオブリコレクション,
固有名詞,がーでんおぶりこれくしょん,ガーデン・オブ・リコレクション,記憶の運命
名詞,きえないせいぼう,消えない星芒,
名詞,きおく,記憶,
固有名詞,きおく,記憶,
名詞,きせき,軌跡,
固有名詞,きちょうせきごう,暉長石号,名前はシナリオが進むと変わります
名詞,きぶつ,奇物,
人名,きぼうのさすらいびと,帰忘の流離人,
人名,きぼうのるりじん,帰忘の流離人,（読みは仮）
人名,きゅう,穹,男性開拓者のデフォルト名。正確には「ベクター穹」。「そら」と読ませる可能性もある。
固有名詞,きょうかんかくびーこん,共感覚ビーコン,どの星系の人でも言葉が通じる便利アイテム。要するに翻訳こんにゃく
固有名詞,きょうほうかん,競鋒艦,
固有名詞,きょこうじょじ,虚構叙事,もう一つの真のエンドコンテンツ。雑魚無限湧きの方。
名詞,きょこうれきしがくしゃ,虚構歴史学者,
固有名詞,きょこうれきしがくしゃ,虚構歴史学者,神秘の運命
固有名詞,きょすうのき,虚数の樹,この世界のマルチバース理論の名称
固有名詞,きょむ,虚無,デバッファー
名詞,きんこう,均衡,
固有名詞,きんこう,均衡,
名詞,きんこうれべる,均衡レベル,
固有名詞,ぎじかがく,疑似花萼,素材集め周回コンテンツ
名詞,ぎじんせい,擬靱性,
固有名詞,ぎょうけつきょえい,凝結虚影,キャラクター昇格素材集めコンテンツ
人名,ぎょくう,御空,
人名,ぎんろう,銀狼,
名詞,くすりごい,薬乞い,
固有名詞,くすりごい,薬乞い,豊穣の運命
人名,くらーら,クラーラ,
固有名詞,くりふぉと,クリフォト,「存護」の運命を司る星神
人名,けいげん,景元,
人名,けいないふん,桂乃芬,
人名,けいりゅう,鏡流,
名詞,けりゅどら,ケリュドラ,
名詞,けんそうしゃ,建創者,
固有名詞,けんそうしゃ,建創者,存護の運命
人名,げんきょう,彦卿,
人名,げんろう,幻朧,絶滅大君、壊滅の使令
固有名詞,こうえんすい,光円錐,メイン装備
名詞,こじゅう,古獣,
固有名詞,こぞく,狐族,仙舟の長命種、もふもふ
名詞,こはくき,琥珀紀,
固有名詞,こはくき,琥珀紀,西暦と違い、クリフォトが槌を振るった時に変わるので日本の和暦みたいなもの。
名詞,こんとんいし,混沌医師,
固有名詞,こんとんいし,混沌医師,虚無の運命
名詞,こんとんのきおく,混沌の記憶,
固有名詞,こんとんのにわ,混沌の庭,真のエンドコンテンツ。通称「裏庭」
人名,さすらいびと,流離人,
人名,さむ,サム,
人名,さんでー,サンデー,
人名,さんぽ,サンポ,
人名,さんぽこーすき,サンポ・コースキ,
助数詞,しすてむじかん,システム時間,実は1システム時間＝地球時間での1時間である
固有名詞,しぺ,シペ,「調和」の運命を司る星神
名詞,しゅうえん,終焉,
固有名詞,しゅうえん,終焉,
固有名詞,しゅめい,朱明,
固有名詞,しょうきゃくじん,焼却人,記憶の運命
人名,しょうきゅう,椒丘,
固有名詞,しんさくしょうぐん,神策将軍,景元の異名
固有名詞,しんしょくとんねる,侵蝕トンネル,遺物集めコンテンツ
名詞,しんぴ,神秘,
固有名詞,しんぴ,神秘,
人名,じぇいど,ジェイド,
人名,じぇぱーど,ジェパード,
人名,じぇぱーどらんどぅ,ジェパード・ランドゥ,
人名,じぇぱーどらんどぅー,ジェパード・ランドゥー,
名詞,じげんぷーまん,次元プーマン,
名詞,じそじゅし,自塑樹脂,
固有名詞,じみょうぞく,持明族,仙舟の長命種、ドラゴン
名詞,じめつしゃ,自滅者,
固有名詞,じめつしゃ,自滅者,虚無の運命
固有名詞,じゅうおうし,十王司,仙舟の刑務組織
固有名詞,じゅうのせきしん,十の石心,存護の運営
名詞,じゅんかいれんじゃー,巡海レンジャー,
固有名詞,じゅんかいれんじゃー,巡海レンジャー,巡狩の運命
固有名詞,じゅんしゅ,巡狩,単体ダメージディーラー
名詞,じゅんび,純美,
固有名詞,じゅんび,純美,
名詞,じゅんびのきしだん,純美の騎士団,
固有名詞,じゅんびのきしだん,純美の騎士団,純美の運命
人名,じん,刃,
名詞,じんせい,靱性,
名詞,すうぉーむ,スウォーム,
固有名詞,すうぉーむ,スウォーム,繁殖の運命
人名,すしょう,素裳,
名詞,すたーぴーすかんぱにー,スターピースカンパニー,
固有名詞,すたーぴーすかんぱにー,スターピースカンパニー,存護の運命
名詞,すたーれいる,スターレイル,
人名,すゔぁろーぐ,スヴァローグ,
人名,せい,星,女性開拓者のデフォルト名。正確には「ベクター星」
名詞,せいかく,星核,
固有名詞,せいかく,星核,世界に壊滅をもたらすとされている物体
名詞,せいかくはんたー,星核ハンター,
固有名詞,せいかくはんたー,星核ハンター,終焉の運命？
名詞,せいき,星軌,
名詞,せいきゅうれっしゃ,星穹列車,
固有名詞,せいきゅうれっしゃ,星穹列車,君たちが乗っている列車のこと
固有名詞,せいぎょく,星玉,無課金の方の石
名詞,せいこん,星魂,
人名,せいじゃく,青雀,
名詞,せいせいえーてる,精製エーテル,
名詞,せいれんす,セイレンス,
人名,せつい,雪衣,
固有名詞,せんしゅう,仙舟,
名詞,せんしゅうどうめい,仙舟同盟,
固有名詞,せんしゅうどうめい,仙舟同盟,巡狩の運命
人名,せーばる,セーバル,
人名,せーばるらんどぅ,セーバル・ランドゥ,
人名,せーばるらんどぅー,セーバル・ランドゥー,
人名,ぜーれ,ゼーレ,
名詞,そうぎきゃく,葬儀客,
固有名詞,そうぎきゃく,葬儀客,終焉の運命
固有名詞,そんご,存護,バリアタンク、バリアヒーラー
名詞,そんざいのき,存在の木,
固有名詞,たいずるす,タイズルス,「繁殖」の運命を司る星神
固有名詞,たいぼく,太卜,太卜司の長官に当たる役職
固有名詞,たいぼくし,太卜司,仙舟の行政組織で、高度な占いを基礎とする
人名,たんこう,丹恒,
固有名詞,たんていし,丹鼎司,仙舟の医療組織
固有名詞,だい9きかん,第IX機関,虚無の運命
名詞,だいきゅうきかん,第IX機関,
固有名詞,だいきゅうきかん,第IX機関,虚無の運命
固有名詞,ちえ,知恵,複数体ダメージディーラー
固有名詞,ちこうし,地衡司,仙舟の治安組織
名詞,ちゅうさいかん,仲裁官,
固有名詞,ちょうわ,調和,バッファー
固有名詞,ちょうわしゅうげん,調和衆弦,ファミリーの階級
人名,ていうん,停雲,
固有名詞,てるみぬす,テルミヌス,「終焉」の運命を司る星神
名詞,てんがいせいかたい,天外聖歌隊,
固有名詞,てんがいせいかたい,天外聖歌隊,秩序の運命
名詞,てんさいくらぶ,天才クラブ,
固有名詞,てんさいくらぶ,天才クラブ,知恵の運命
人名,とぱーず,トパーズ,
名詞,とむらいれいじん,弔令人,
固有名詞,とむらいれいじん,弔伶人,愉悦の運命
人名,とりびー,トリビー,
人名,どくたーれいしお,Dr.レイシオ,
名詞,どんよく,貪慾,
固有名詞,どんよく,貪欲,
固有名詞,ないん,IX,「虚無」の運命を司る星神
名詞,ながよつき,長夜月,
人名,なたーしゃ,ナターシャ,
名詞,ななしのくんこう,ナナシの勲功,
名詞,ななしびと,ナナシビト,
固有名詞,ななしびと,ナナシビト,開拓の運命
固有名詞,なぬーく,ナヌーク,「壊滅」の運命を司る星神
固有名詞,ぬーす,ヌース,「知恵」の運命を司る星神
名詞,はくしきがっかい,博識学会,
固有名詞,はくしきがっかい,博識学会,知恵の運命
人名,はなび,花火,
名詞,はんしょく,繁殖,
固有名詞,はんしょく,繁殖,
名詞,はんぶっしつれぎおん,反物質レギオン,
固有名詞,はんぶっしつれぎおん,反物質レギオン,壊滅の運命
固有名詞,ばんかいのがん,万界の癌,星核の別称
人名,ぱむ,パム,
名詞,ひこう,飛黄,飛霄の必殺で使うやつ
人名,ひしょう,飛霄,
人名,ひめこ,姫子,
人名,びゃくろ,白露,
固有名詞,ぴのこにー,ピノコニー,
人名,ふぁいのん,ファイノン,
名詞,ふぁみりー,ファミリー,
固有名詞,ふぁみりー,ファミリー,調和の運命
人名,ふぉふぉ,フォフォ,
名詞,ふきゅう,不朽,
固有名詞,ふきゅう,不朽,
人名,ふげん,符玄,
人名,ふっく,フック,
固有名詞,ふり,浮黎,「記憶」の運命を司る星神
固有名詞,ふー,互,「均衡」の運命を司る星神
人名,ふーれい,呼雷,歩離人
人名,ぶらっくすわん,ブラックスワン,
人名,ぶろーにゃ,ブローニャ,
人名,ぶろーにゃらんど,ブローニャ・ランド,
人名,ぶーとひる,ブートヒル,
人名,ぷろとまー,プロトマー,
人名,へるた,ヘルタ,
人名,べくたー,ベクター,
人名,べりたすれいしお,ベリタス・レイシオ,
人名,ぺら,ペラ,
人名,ぺらげやせるげーゔな,ペラゲヤ・セルゲーヴナ,
名詞,ほうかいすたーれいる,崩壊：スターレイル,
固有名詞,ほうじょう,豊穣,ピュアヒーラー
名詞,ほうじょうのたみ,豊穣の民,
固有名詞,ほうじょうのたみ,豊穣の民,豊穣の運命
人名,ほたる,ホタル,
名詞,ほようぃき,HoYoWiki,
名詞,ほよばーす,HoYoverse,
名詞,ほよらぼ,HoYoLAB,
固有名詞,ほりじん,歩離人,豊穣の運命
固有名詞,ぼうきゃくのにわ,忘却の庭,エンドコンテンツ（入門編の方）
固有名詞,ぼくしゃ,卜者,太卜司の職員
名詞,ぼつにゅうき,没入器,
人名,まだむへるた,マダム・ヘルタ,
固有名詞,まつじつのげんえい,末日の幻影,さらなるエンドコンテンツ。強化されたボスを倒す
名詞,まんゆうしなん,漫遊指南,
人名,みつきなのか,三月なのか,
名詞,みほよ,miHoYo,
固有名詞,みゅとぅす,ミュトゥス,「神秘」の運命を司る星神
名詞,みらーほるだー,ミラーホルダー,
固有名詞,みらーほるだー,ミラーホルダー,純美の運命
人名,みーしゃ,ミーシャ,
固有名詞,むがんしょうぐん,無眼将軍,景元の異名
固有名詞,もぎうちゅう,模擬宇宙,ローグライクなエンドコンテンツ
人名,もぜ,モゼ,
人名,もーどぅ,末度,歩離人
名詞,やくさいぜんえい,厄災前衛,
固有名詞,やくし,薬師,「豊穣」の運命を司る星神
固有名詞,やりーろ6,ヤリーロ-VI,ヤリーロ星系第6惑星
固有名詞,やりーろしっくす,ヤリーロ-VI,ヤリーロ星系第6惑星
固有名詞,ゆうしゅうごく,幽囚獄,
名詞,ゆえつ,愉悦,
固有名詞,ゆえつ,愉悦,
固有名詞,ようせい,曜青,
人名,よみ,黄泉,
人名,らせつ,羅刹,
固有名詞,らふ,羅浮,
固有名詞,らん,嵐,「巡狩」の運命を司る星神
人名,らんは,乱破,（らっぱではないらしいです）
人名,りすしょう,李素裳,
名詞,りどらー,リドラー,
固有名詞,りどらー,リドラー,神秘の運命
固有名詞,りゅう,龍,「不朽」の運命を司る星神
人名,りんくす,リンクス,
人名,るあんめぇい,ルアン・メェイ,
人名,るか,ルカ,
人名,るりじん,流離人,（略称、仮）
人名,れいさ,霊砂,
固有名詞,れきせんよいん,歴戦余韻,週ボスコンテンツ
固有名詞,れっかい,裂界,星核がもたらす異世界
名詞,れっかいしんしょく,裂界侵蝕,
人名,ろびん,ロビン,
人名,ゔぇると,ヴェルト,
人名,ゔぇるとよう,ヴェルト・ヨウ,
