# Game: しょぼいカレンダー (Code: syoboi)
category_name,reading,word,description
名詞,あずーるれーんびそくぜんしんっにっ,アズールレーン びそくぜんしんっ！にっ!!,
名詞,いびってこないぎぼとぎし,いびってこない義母と義姉,
名詞,いわもとせんぱいのすいせん,岩元先輩ノ推薦,
名詞,うしろのしょうめんかむいさん,うしろの正面カムイさん,
名詞,うちのおとうとどもがすみません,うちの弟どもがすみません,
名詞,おとめかいじゅうきゃらめりぜ,乙女怪獣キャラメリゼ,
名詞,おなじぜみのそめやさんがせくしーじょゆうだったはなし,同じゼミの染谷さんがセクシー女優だった話。,
名詞,おにのはなよめ,鬼の花嫁,
名詞,かたいなかのおっさんけんせいになる２,片田舎のおっさん、剣聖になるⅡ,
名詞,がいこつきしさまただいまいせかいへおでかけちゅうつー,骸骨騎士様、只今異世界へお出掛け中Ⅱ,
名詞,きみがしぬまでこいをしたい,きみが死ぬまで恋をしたい,
名詞,きみをあいするきはないといったじきこうしゃくさまがなぜかできあいしてきます,「きみを愛する気はない」と言った次期公爵様がなぜか溺愛してきます,
名詞,くればてす２まじゅうのおうといつわりのゆうしゃでんしょう,クレバテスⅡ-魔獣の王と偽りの勇者伝承-,
名詞,ぐろうあっぷしょうひまわりのさーかすだん,グロウアップショウ ～ひまわりのサーカス団～,
名詞,こうかくきどうたいざごーすといんざしぇる,攻殻機動隊 THE GHOST IN THE SHELL,
名詞,ここはおれにまかせてさきにいけといってからじゅうねんがたったらでんせつになっていた,ここは俺に任せて先に行けと言ってから10年がたったら伝説になっていた。,
名詞,これかいてしね,これ描いて死ね,
名詞,さいきょうでがらしおうじのあんやくていいあらそい,最強出涸らし皇子の暗躍帝位争い,
名詞,さいじょのおせわたかねのはなだらけなめいもんこうでがくいんいちのおじょうさませいかつのうりょくかいむをかげながらおせわすることになりました,才女のお世話 高嶺の花だらけな名門校で、学院一のお嬢様（生活能力皆無）を陰ながらお世話することになりました,
名詞,さよなららら,さよならララ,
名詞,さんだーすりー,サンダー3,
名詞,すてられせいじょのいせかいごはんたびかくれすきるできゃんぴんぐかーをしょうかんしました,捨てられ聖女の異世界ごはん旅 隠れスキルでキャンピングカーを召喚しました,
名詞,すーぱーのうらでやにすうふたり,スーパーの裏でヤニ吸うふたり,
名詞,せかいさいきょうのこうえいめいきゅうこくのしんじんたんさくしゃ,世界最強の後衛 ～迷宮国の新人探索者～,
名詞,そらはあかいかわのほとり,天は赤い河のほとり,
名詞,たいありでしたおじょうさまはかくとうげーむなんてしない,対ありでした。～お嬢さまは格闘ゲームなんてしない～,
名詞,ついほうされたてんせいじゅうきしはげーむちしきでむそうする,追放された転生重騎士はゲーム知識で無双する,
名詞,てつなべのじゃん,鉄鍋のジャン！,
名詞,てふだがおおめのびくとりあ,手札が多めのビクトリア,
名詞,てんこうさきのせいそかれんなびしょうじょがむかしだんしとおもっていっしょにあそんだおさななじみだったけん,転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件,
名詞,てんまくのじゃーどぅーがる,天幕のジャードゥーガル,
名詞,とうくつおう,盗掘王,
名詞,とうめいなよるにかけるきみとめにみえないこいをした,透明な夜に駆ける君と、目に見えない恋をした。,
名詞,にじゅっせいきでんきもくろくゆーれかえう゛りか,二十世紀電氣目録-ユーレカ・エヴリカ-,
名詞,ねことりゅう,猫と竜,
名詞,はなおりさんはてんせいしてもけんかがしたい,花織さんは転生しても喧嘩がしたい,
名詞,ばんどりゆめみた,バンドリ！ ゆめ∞みた,
名詞,ひろいんせいじょいいえおーるわーくすめいどですかっこほこり,ヒロイン？聖女？いいえ、オールワークスメイドです(誇)！,
名詞,ふつつかなあくじょではございますがすうぐうちょうそとりかえでん,ふつつかな悪女ではございますが～雛宮蝶鼠とりかえ伝～,
名詞,ぶちきれれいじょうはほうふくをちかいましたまどうしょのちからでそこくをたたきつぶします,ブチ切れ令嬢は報復を誓いました。～魔導書の力で祖国を叩き潰します～,
名詞,ぶらっくとーち,BLACK TORCH,
名詞,ぶりーちせんねんけっせんへんかしんたん,BLEACH 千年血戦篇-禍進譚-,
名詞,ほのおのとうきゅうじょ どっじだんこ,炎の闘球女 ドッジ弾子,
名詞,まほうしょうじょりりかるなのはえくしーずがんぶれいずべんじぇんす,魔法少女リリカルなのは EXCEEDS Gun Blaze Vengeance,
名詞,むしょくてんせい３いせかいいったらほんきだす,無職転生Ⅲ～異世界行ったら本気だす～,
名詞,むじかくせいじょはきょうもむいしきにちからをたれながす,無自覚聖女は今日も無意識に力を垂れ流す,
名詞,めびうすだすと,メビウス・ダスト,
名詞,やにねこ,ヤニねこ,
名詞,ようじょせんきつー,幼女戦記Ⅱ,
名詞,らくだいけんじゃのがくいんむそうにどめのてんせいえすらんくちーとまじゅつしぼうけんろく,落第賢者の学院無双～二度目の転生、Ｓランクチート魔術師冒険録～,
名詞,りょうみんぜろにんすたーとのへんきょうりょうしゅさま,領民0人スタートの辺境領主様,
名詞,れいわのだらさん,令和のダラさん,
名詞,れっつごーかいきぐみ,レッツゴー怪奇組,
名詞,れべる９９９のむらびと,LV999の村人,
名詞,わーるどいずだんしんぐ,ワールド イズ ダンシング,
