# Game: 対魔忍RPG (Code: taimaninrpg)
category_name,reading,word,description
人名,0200しんにゅうかいしいそざきいのり,【〇二〇〇侵入開始】磯咲伊紀,
人名,2019しょうがつぜろあさぎ,【2019正月】ZEROアサギ,
人名,6がつのはなよめあいしゅうへびこ,【6月の花嫁】相州蛇子,
人名,6がつのはなよめいがわあさぎ,【6月の花嫁】井河アサギ,
人名,6がつのはなよめおにさききらら,【6月の花嫁】鬼崎きらら,
人名,あいしゅうへびこ,相州蛇子,
人名,あいののぞみ,藍野のぞみ,
人名,あいりーんうぉると,アイリーン・ウォルト,
人名,あきやまりんこ,秋山凜子,
人名,あくはじめしきみ,【悪始】シキミ,
人名,あくをかるじゃあくかうーら,【悪を狩る邪悪】カウーラ,
人名,あこがれをまとってりりす,【憧れを纏って】リリス,
人名,あさひないちか,朝比奈逸華,
人名,あさふじようこ,麻藤陽子,
人名,あたがわるみ,熱川るみ,
人名,あまえんぼうさちゃんみゅるぬ,【甘えんぼウサちゃん】ミュルヌ,
人名,あまつあんり,天津杏里,
人名,あまなきうい,天泣憂,
人名,あまねしーきゅーしー,天音CQC,
人名,あまのれな,天野レナ,
人名,あまみやしすい,天宮紫水,
人名,あまよのかえるひめあまなきうい,【雨夜のカエル姫】天泣憂,
人名,あめたにしいな,飴谷しいな,
人名,ありありぺためいどあいののぞみ,【ありありぺたメイド】藍野のぞみ,
人名,ありしあびゅーすとれーむ,アリシア・ビューストレーム,
人名,あるかすてぃえる,アルカ・スティエル,
人名,あるじぇんと,アルジェント,
人名,あるふぉんす,アルフォンス,
人名,あるべるた,アルベルタ,
人名,あるむ,アルム,
人名,あるりんじー,アル・リンジー,
人名,あれくとら,アレクトラ,
人名,あれっきぃ,アレッキィ,
人名,あわきわかむらさきやつむらさき,【淡き若紫】八津紫,
人名,あんこくがいのやみひめふぇりしあ,【暗黒街の闇姫】フェリシア,
人名,あんじぇ,アンジェ,
人名,あんたいと,アンタイト,
人名,あんねろーぜゔぁじゅら,アンネローゼ・ヴァジュラ,
人名,あんぶろーず,アンブローズ,
人名,あんりーどぼにー,アンリード・ボニー,
人名,あーせら,アーセラ,
人名,あーねてす,アーネテス,
人名,いがわあさぎ,井河アサギ,
人名,いがわさくら,井河さくら,
人名,いがわせんしゅう,井河扇舟,
人名,いくさじたてれぴたりっちすたー,【戦仕立】レピタ・リッチスター,
人名,いくひさしくししむらころ,【幾久しく…】死々村孤路,
人名,いしかわあむ,石川あむ,
人名,いしゅたる,イシュタル,
人名,いすか,イスカ,
人名,いずもきぬ,出雲きぬ,
人名,いずもつる,出雲鶴,
人名,いそざきいおり,磯咲伊織,
人名,いそざきいのり,磯咲伊紀,
人名,いたずらちょこむすめみなさき,【イタズラチョコ娘】ミナサキ,
人名,いたちやこまち,板知屋小町,
人名,いちにちたいまにんゆふぃあんどそふぃ,【一日対魔忍】ユフィ＆ソフィ,
人名,いちもんじみいこ,一文字魅衣子,
人名,いっぱんぎたいもーどえー66るーな,【一般擬態モード】A-66・ルーナ,
人名,いとめるはなよめゆばしりはやて,【射止める花嫁】弓走颯,
人名,いなげなつ,稲毛夏,
人名,いばみなみ,伊庭美南,
人名,いぶしぎんさっくすぐろーりあ,【いぶし銀サックス】グローリア,
人名,いまわしきいくさしょうぞくびるゔぁ,【忌まわしき戦装束】ビルヴァ,
人名,いめーじがーるなさつじんきそにあ,【イメージガールな殺人鬼】ソニア,
人名,いんぐりっど,イングリッド,
人名,いんとんばにーふぉるしあ,【隠遁バニー】フォルシア,
人名,いーおおらいおん,イーオ・オライオン,
人名,うぃむる,ウィムル,
人名,うぇすた,ウェスタ,
人名,うぇでぃんぐだんさーくーりっじ,【ウェディングダンサー】クーリッジ,
人名,うえはらしかのすけ,上原鹿之助,
人名,うえはらりん,上原燐,
人名,うさぎのたいまにんながぬまみつる,【う○ぎの対魔忍】長沼美蔓,
人名,うさぎのたいまにんもちづきうな,【兎の対魔忍】望月卯奈,
人名,うしどしむすめあきやまりんこ,【丑年娘】秋山凜子,
人名,うすばしのの,臼橋乃々,
人名,うつせみのかめんかめんのたいまにん,【空蝉の仮面】仮面の対魔忍,
人名,うどしのもちつきもちづきうな,【卯年の餅つき】望月卯奈,
人名,うみべできばらしみりあむ,【海辺で気晴らし】ミリアム,
人名,うみべのつよつよやたがらすはつかぜ,【海辺のつよつよヤタガラス】ハツカゼ,
人名,うれいのへいきうぃむる,【憂いの兵器】ウィムル,
人名,えあこみけ2りりす,【エアコミケ２】リリス,
人名,えいけいえいらんきりーな,【a.k.a.嵐騎】リーナ,
人名,えすびー001えんおう,SB-001炎王,
人名,えもりた,エモリタ,
人名,えりかぶらっくもあ,エリカ・ブラックモア,
人名,えるざすわんそん,エルザ・スワンソン,
人名,えるしーももあ,エルシー・モモア,
人名,えるゔぃんなーすえれおのーる,【エルヴィンナース】エレオノール,
人名,えるゔぃーら,エルヴィーラ,
人名,えるヴぃんなーすえれおのーる,【エルヴィンナース】エレオノール,
人名,えれあんすたん,エレ・アンスタン,
人名,えれおのーる,エレオノール,
人名,えれきびわほうしくらはしほくと,【エレキ琵琶法師】鞍橋ほくと,
人名,えれーな,エレーナ,
人名,えんりんせいやあさひないちか,【炎輪聖夜】朝比奈逸華,
人名,えー66るーな,A-66・ルーナ,
人名,えーてるばれめぎあ,エーテル・バレメギア,
人名,おいろなおしあんじぇ,【お色直し】アンジェ,
人名,おうえんやみなさき,【応援屋】ミナサキ,
人名,おうらんぶとうりーな,【桜嵐舞闘】リーナ,
人名,おおぐいめいどおおばやしあずき,【大食いメイド】大林あずき,
人名,おおしましずく,大島雫,
人名,おおとりあやか,鳳朱華,
人名,おおなみちょこなみせしりあちぇろ,【大波チョコ波】セシリア・チェロ,
人名,おおばやしあずき,大林あずき,
人名,おきつねばにーぶりじっと,【おきつねバニー】ブリジット,
人名,おきらくむまりりむ,【お気楽夢魔】リリム,
人名,おしのびかじゅあるぜろさくら,【お忍びカジュアル】ZEROさくら,
人名,おてつだいみこさんあたがわるみ,【お手伝い巫女さん】熱川るみ,
人名,おとぎりふじの,乙切藤乃,
人名,おとなみなさき,大人ミナサキ,
人名,おとなゆきかぜ,大人ゆきかぜ,
人名,おにぐもさぶろう,鬼蜘蛛三郎,
人名,おにさききらら,鬼崎きらら,
人名,おぼろ,朧,
人名,おめでたいまにんみずきゆきかぜ,【おめでたいまにん】水城ゆきかぜ,
人名,おるとーる,オルトール,
人名,おーがどれい,オーガ奴隷,
人名,おーれりあ,オーレリア,
人名,かいばらなお,甲斐原菜央,
人名,かうーら,カウーラ,
人名,かがり,篝,
人名,かくせいうえはらしかのすけ,【覚醒】上原鹿之助,
人名,かくせいしんがんじくれない,【覚醒】心願寺紅,
人名,かくせいつばき,覚醒ツバキ,
人名,かくせいりりむ,覚醒リリム,
人名,かけはらたかおみ,掛原鷹臣,
人名,かげとんつかいのくりすますみかげこうめ,【影遁使いのX'mas】御影小梅,
人名,かげのしはいしゃさくら,【影の支配者】さくら,
人名,かげろう,陽炎,
人名,かたぶつはろうぃんゆばしりはやて,【堅物ハロウィン】弓走颯,
人名,かたぶつれーすくいーんゆばしりはやて,【堅物RQ】弓走颯,
人名,かちこみぎゃるふらんしす,【カチコミギャル】フランシス,
人名,かてじな,カテジナ,
人名,かとんのれーすくいーんさなださき,【火遁のRQ】眞田咲,
人名,かなわぬねがいせのか,【かなわぬ願い】セノカ,
人名,かのん,カノン,
人名,かべのせっかいしかわあむ,【壁の石華】石川あむ,
人名,かみたにきっか,狼谷菊華,
人名,かみむらあずま,神村東,
