# Game: 鳴潮 (Code: ww)
category_name,reading,word,description
名詞,あんこ,アンコ,
名詞,あーると,アールト,
名詞,いんりん,吟霖,
名詞,えたーなるらいと,エターナル・ライト,
名詞,えんぶ,淵武,
名詞,おりえ,折枝,
名詞,おんがい,音骸,
名詞,おんこん,音痕,
名詞,おーがすた,オーガスタ,
名詞,かいしょくげんしょう,海蝕現象,
名詞,かいせつ,回折,
名詞,かかろ,カカロ,
名詞,かるてじあ,カルテジア,
名詞,かるろった,カルロッタ,
名詞,かんしん,鑑心,
名詞,かんたれら,カンタレラ,
名詞,きえん,忌炎,
名詞,きどう,気動,
名詞,きょめつ,虚滅,
名詞,ぎゃっきょうしんとう,逆境深塔,
名詞,ぎょうしゅく,凝縮,
名詞,ぎょうそりょういき,凝素領域,
名詞,ぐろりあすうぃんど,グロリアス・ウィンド,
名詞,けっそう,結霜,
名詞,けんそうにかくすかいこう,喧騒に隠す回光,
名詞,こんし,今汐,
名詞,さいしゅ,歳主,
名詞,さいばく,斉爆,
名詞,さんか,散華,
名詞,ざんにー,ザンニー,
名詞,しか,熾霞,
名詞,しのうたがまとううみのはいきょ,死の歌が纏う海の廃墟,
名詞,しゃこんぬ,シャコンヌ,
名詞,しょあきーぱー,ショアキーパー,
名詞,しょうねつ,焦熱,
名詞,しょうめつ,消滅,
名詞,せれっしゃるあんさむ,セレッシャル・アンサム,
名詞,せんのとびらのきそう,千の扉の奇想,
名詞,そうこう,騒光,
名詞,そうりよう,相里要,
名詞,そらをきりさくめいらい,空を切り裂く冥雷,
名詞,たいずたーにんぐヴぁら,タイズターニング・ヴァラ,
名詞,たえないよいん,絶えない余韻,
名詞,たおき,桃祈,
名詞,たにをつきぬけるちょうふう,谷を突き抜ける長風,
名詞,たんきん,丹瑾,
名詞,ちょうり,長離,
名詞,つきをうかがうけいうん,月を窺う軽雲,
名詞,つばき,ツバキ,
名詞,でんじ,電磁,
名詞,でんどう,電導,
名詞,とうとう,灯灯,
名詞,にどとかがやかないちんじつ,二度と輝かない沈日,
名詞,はうりんぐふれいむ,ハウリング・フレイム,
名詞,ばうんどれすすかい,バウンドレス・スカイ,
名詞,ひょうはくしゃ,漂泊者,
名詞,びゃくし,白芷,
名詞,ふぃーびー,フィービー,
名詞,ふうしょく,風蝕,
名詞,ふろすてっどはーと,フロステッド・ハート,
名詞,ふろーヴぁ,フローヴァ,
名詞,ぶらんと,ブラント,
名詞,みっどないとべーる,ミッドナイト・ベール,
名詞,むおんく,無音区,
名詞,もるとふぃー,モルトフィー,
名詞,やまをとどろかせるほうか,山を轟かせる崩火,
名詞,やみをとりはらううきほし,闇を取り払う浮星,
名詞,やんやん,秧秧,
名詞,ゆうご,釉瑚,
名詞,ゆーの,ユーノ,
名詞,よるにこびりつくはくそう,夜にこびり付く白霜,
名詞,りんよう,凌陽,
名詞,るぱ,ルパ,
名詞,ろここ,ロココ,
名詞,ヴぇりーな,ヴェリーナ,
