# Game: ゼンレスゾーンゼロ (Code: zzz)
category_name,reading,word,description
名詞,あいあんたすく,アイアンタスク,
人名,あきら,アキラ,
人名,あさばはるまさ,浅羽悠真,
人名,あすとら,アストラ,
人名,あすとらやお,アストラ・ヤオ,
名詞,あられおつせいでん,あられ落つ星殿,
名詞,ありす,アリス,
名詞,あるぼる,アルボル,
人名,あれくさんどりな,アレクサンドリナ,
人名,あれくさんどりなせばすちゃん,アレクサンドリナ・セバスチャン,
名詞,あんごうかますたーてーぷ,暗号化マスターテープ,
名詞,あんていのーど,安定ノード,
人名,あんどー,アンドー,
人名,あんどーいわのふ,アンドー・イワノフ,
人名,あんびー,アンビー,
人名,あんびー,0号・アンビー,
人名,あんびーでまら,アンビー・デマラ,
人名,いあす,イアス,
名詞,いしゅく,畏縮,
名詞,いじょう,異常,
名詞,いじょうしょうあく,異常掌握,
名詞,いじょうますたりー,異常マスタリー,
人名,いぶりん,イヴリン,
人名,いぶりんしぇばりえ,イヴリン・シェヴァリエ,
人名,いゔりん,イヴリン,
人名,いゔりんしぇゔぁりえ,イヴリン・シェヴァリエ,
人名,いーしぇん,儀玄,
名詞,うきなみゆずは,浮波柚葉,
名詞,うっどぺっかーえれくとろ,ウッドペッカー・エレクトロ,
名詞,うつろにひそむほうふくげき,虚ろに潜む報復劇,
名詞,うんかのいきつくところ,雲霞の行き着く処,
名詞,うんがくさん,雲嶽山,
名詞,えいちでぃーでぃーしすてむ,H.D.Dシステム,
名詞,えいひちく,衛非地区,
名詞,えねるぎーじゅんかんえき,エネルギー循環液,
地名,えりーと,エリー都,
人名,えれん,エレン,
人名,えれんじょー,エレン・ジョー,
名詞,えんごくのへゔぃめたる,炎獄のヘヴィメタル,
名詞,えんしんのけいかん,炎心の桂冠,
名詞,えーてりあす,エーテリアス,
名詞,えーてるたいせい,エーテル耐性,
名詞,えーてるでんかいえき,エーテル電解液,
名詞,えーてるぶっしつ,エーテル物質,
名詞,えーてる耐性,エーテル耐性,
名詞,おぼるすしょうたい,オボルス小隊,
名詞,おりえだのとうか,折枝の刀歌,
名詞,おんしつぶーすとげんばん,音質ブースト原盤,
名詞,おんどうき,音動機,
名詞,かいきりょだん,怪奇旅団,
名詞,かがやきのもーめんと,輝きのモーメント,
名詞,かっせいどらいぶ,活性ドライブ,
名詞,かりゅどーんのこ,カリュドーンの子,
人名,かりん,カリン,
人名,かりんうぃくす,カリン・ウィクス,
名詞,かんつうりつ,貫通率,
名詞,きかいじん,機械人,
名詞,きちょうなせきかこあ,貴重な石化コア,
名詞,きゃのんろーらー,キャノンローラー,
名詞,きゃろっと,キャロット,
名詞,きょうかいぶっし,協会物資,
名詞,きょうこう,強攻,
名詞,きょうせいほろう,共生ホロウ,
名詞,きょくちのへゔぃめたる,極地のヘヴィメタル,
人名,きんぐしーざー,キング・シーザー,
名詞,きんめっきのかしん,金メッキの花信,
名詞,ぎょっこせいひょう,玉壺青氷,
人名,くれた,クレタ,
人名,くれたべろぼーぐ,クレタ・ベロボーグ,
人名,ぐれーす,グレース,
人名,ぐれーすはわーど,グレース・ハワード,
名詞,ぐろうるまいかー,グロウル・マイ・カー,
名詞,けいおすじゃず,ケイオス・ジャズ,
名詞,けんかごしのぼんばるだむ,喧嘩腰のボンバルダム,
名詞,げきは,撃破,
名詞,げきへんのーど,激変ノード,
名詞,げんせいほろう,原生ホロウ,
