id,name,code,created_at,updated_at
26,しょぼいカレンダー,syoboi,2026-06-23T11:37:39.887Z,2026-06-23T11:37:39.887Z
24,アークナイツ,arknights,2025-10-02T07:48:02.810Z,2025-10-02T07:48:02.810Z
25,アークナイツ：エンドフィールド,arkend,2025-12-12T18:43:59.119Z,2025-12-12T18:43:59.119Z
14,エデンズリッターグレンツェ,eden,2025-06-24T02:47:48.863Z,2025-06-24T02:47:48.863Z
16,ストリートファイター,SF,2025-07-28T03:03:31.257Z,2025-07-28T03:03:31.257Z
22,ゼンレスゾーンゼロ,zzz,2025-08-10T03:55:53.618Z,2025-08-10T03:55:53.618Z
13,対魔忍RPG,taimaninrpg,2025-06-23T14:41:08.617Z,2025-06-23T14:41:08.617Z
20,崩壊：スターレイル,hsr,2025-08-04T02:31:04.132Z,2025-08-04T02:31:04.132Z
15,超昂大戦エスカレーションヒロインズ,escalation,2025-06-24T14:00:31.780Z,2025-06-24T14:00:31.780Z
11,鳴潮,ww,2025-06-22T07:59:15.786Z,2025-06-22T07:59:15.786Z
